id,date,blue_r,green_r,red_r,nir_r,ndvi,evi,gci,gpp
26,20170917T190351,0.113658696,0.107733851,0.106770963,0.334385093,0.515949237,0.506903797,2.103807117,16.734433
27,20170927T185131,0.103342857,0.09776677,0.095269565,0.321172671,0.54245964,0.50527722,2.285090324,13.374922
28,20171007T190351,0.116462422,0.112920497,0.127718168,0.274531677,0.364980897,0.314410155,1.431194376,3.5288905
29,20171017T185401,0.304413199,0.279232609,0.283278106,0.357249689,0.115485361,0.238982088,0.279398173,8.87014
30,20171027T190351,0.108266149,0.099314286,0.094064907,0.298424845,0.520675857,0.486192436,2.004853154,14.285524
31,20171101T185519,0.109871739,0.098537267,0.087660093,0.291662112,0.537806688,0.513298045,1.959916795,18.4389645
32,20171106T185601,0.102843168,0.089868634,0.072500621,0.294623603,0.605034937,0.579469252,2.278380798,15.4766795
33,20171111T190339,0.473937733,0.4634,0.50337764,0.573714286,0.065302361,0.169168407,0.238054134,6.1874985
34,20171116T190351,0.673595963,0.631373758,0.66695854,0.641376398,-0.019553206,-0.108186586,0.01584266,6.6830855
35,20171126T185721,1.016839441,0.967608075,1.023207298,1.048059627,0.011998612,0.110748627,0.083144772,2.0236435
36,20171201T185729,0.130282764,0.110708696,0.08060559,0.282290683,0.555765126,0.639212094,1.549851043,10.8596565
37,20171206T190341,0.105732453,0.085454814,0.052861646,0.273063354,0.675620796,0.690512754,2.195412199,9.538688
38,20171211T185749,0.163029348,0.139441304,0.113883385,0.317798758,0.472373889,0.654936038,1.279086239,6.255999
39,20171216T185801,0.099515373,0.082516304,0.054661491,0.264059627,0.656994861,0.619035207,2.200090326,8.7435265
40,20171221T185759,0.09837205,0.080352019,0.053900311,0.257247205,0.653538544,0.603146457,2.201502705,5.7617425
41,20171226T190341,0.104840528,0.086018634,0.06095295,0.247552795,0.604850469,0.564109418,1.877897321,8.0898585
42,20171231T185759,0.274830745,0.236641149,0.227147671,0.328004969,0.181674896,0.400443229,0.386085937,6.1871005
43,20180105T185751,0.706987112,0.642602795,0.676101553,0.704521739,0.02058504,0.154885923,0.096356481,4.523488
44,20180110T185739,0.660356988,0.605408696,0.644342857,0.666852174,0.017167024,0.096984139,0.101490908,4.6504555
45,20180120T185709,0.091977484,0.071570342,0.05091677,0.168144099,0.535135871,0.373900539,1.349354434,4.932066
46,20180125T185641,0.103899379,0.078892236,0.05834736,0.143448447,0.421718806,0.297853157,0.818283451,5.1677265
47,20180130T185619,0.392703882,0.354955124,0.370511957,0.389771429,0.025331965,0.072125933,0.098086496,0.370676
48,20180209T185519,0.097177795,0.081707764,0.066584627,0.184690683,0.470026504,0.345191988,1.260381073,6.896264
49,20180214T185451,0.592810404,0.558115217,0.578694721,0.634273292,0.045820311,0.21040898,0.136455829,9.264425
50,20180219T185419,0.091363043,0.079122671,0.060955435,0.25693913,0.616505336,0.522651669,2.247351584,14.4421315
51,20180224T185341,0.112907298,0.09921677,0.084986335,0.23515528,0.469070365,0.41794,1.370116252,9.7893185
52,20180301T185309,0.265950311,0.224175311,0.221982143,0.246265839,0.051860759,0.104037662,0.098541306,6.6812705
53,20180306T185231,0.099654814,0.089915528,0.086042857,0.21181118,0.422248173,0.320622538,1.355668536,8.759861
54,20180311T185149,0.10369146,0.095517236,0.081592702,0.249122981,0.506568899,0.435825851,1.608146883,9.3134235
55,20180316T185121,0.425703727,0.388683851,0.401174689,0.469346584,0.078311578,0.249305962,0.207527873,9.7803945
56,20180321T185039,0.691163665,0.644649224,0.683472516,0.680486957,-0.002188891,-0.012489902,0.05559261,10.1142165
57,20180326T185011,0.082901708,0.082616925,0.043427329,0.37952795,0.794648128,0.825127692,3.593828058,21.421146
58,20180331T184929,0.237841926,0.21988059,0.20819441,0.343773913,0.245629138,0.418907298,0.563457297,-0.5688095
59,20180405T184921,0.636,0.603682298,0.631304193,0.65910559,0.021544627,0.102674453,0.091808708,4.8570275
60,20180410T184919,0.416606832,0.388029193,0.393774379,0.45602236,0.073250436,0.22419832,0.175226939,14.0343945
61,20180415T184921,0.091485248,0.092805124,0.059046894,0.348847205,0.710479291,0.712397704,2.758921805,24.516057
62,20180420T184919,0.08424736,0.088342391,0.045676553,0.408486957,0.798854149,0.863266124,3.62390649,24.28582
63,20180425T185031,0.11733587,0.113465839,0.111703106,0.264732919,0.406522765,0.362653083,1.333150865,2.711529
64,20180505T184921,0.144127019,0.136845342,0.125379193,0.300474534,0.411163108,0.450442152,1.195723513,16.840295
65,20180515T184941,0.093810248,0.091184938,0.058668944,0.38616646,0.736221786,0.791360147,3.234980782,37.6597075
66,20180525T184921,0.718579348,0.682150466,0.728057143,0.745863354,0.012080849,0.061412493,0.093400051,1.847109
67,20180604T184921,0.113991615,0.11346677,0.124228261,0.273450932,0.37523379,0.320527539,1.409964884,10.5899565
68,20180614T184921,0.105201553,0.103387578,0.098219255,0.311488199,0.520539576,0.479561214,2.01282036,22.8224165
69,20180619T184919,0.104189907,0.099553882,0.092959006,0.304889441,0.532691371,0.490026535,2.062557028,27.6556275
70,20180624T184921,0.129131988,0.131270342,0.149227174,0.29986087,0.335421301,0.306981169,1.284300215,6.268811
71,20180629T184919,0.124993323,0.126201242,0.146802485,0.277073292,0.307332513,0.266852511,1.195487834,8.2182395
72,20180704T184931,0.124660404,0.126895342,0.143211335,0.317580124,0.378411503,0.351013519,1.502693323,17.6324305
73,20180709T185019,0.114773913,0.115623913,0.124718478,0.323518012,0.443514837,0.410395348,1.798019925,24.2944835
